Refcode,largest_cavity_diameter,pore_limiting_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
TAJXIO04,3.63081,3.41863,3.61802,5226.15,2.33825,311.746,133.325,0.0,0.0,415.165,0.07944,0.0339742,0.0,0.0,0.0
SODDAQ,2.14122,1.0827,2.13026,1918.54,2.33363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAYZIF,2.73092,1.0717,2.48595,1399.41,1.88943,0.0,0.0,2.02815,1.07342,0.0,0.0,0.0,9.3201,0.00666,0.00352486
SOCLUS,1.70049,0.96038,1.69173,1131.37,2.17303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAJXIO01,3.69381,3.48019,3.69381,5294.9,2.30789,328.714,142.431,0.0,0.0,430.899,0.08138,0.0352617,0.0,0.0,0.0
VUSCER,1.9618,1.20311,1.95728,1059.56,3.20086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOPWUT,2.51515,1.46004,2.51182,801.752,1.93609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UDIKAW,1.90257,1.22643,1.79428,1025.1,1.69511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEMVAK,2.67349,1.9189,2.67276,1012.01,2.10751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOYVAI,3.3424,1.59292,3.33703,637.302,1.85539,0.0,0.0,377.278,203.341,0.0,0.0,0.0,77.5341,0.12166,0.0655711
VEGMIG,3.80414,1.99939,3.59748,2463.26,1.87267,0.0,0.0,225.507,120.42,0.0,0.0,0.0,184.942,0.07508,0.0400926
UPUVEH,3.32935,1.69044,3.32513,1296.74,1.89601,0.0,0.0,140.774,74.2474,0.0,0.0,0.0,67.4307,0.052,0.027426
USODEN,3.8587,2.98325,3.8587,3198.71,1.56623,441.23,281.714,62.5229,39.9193,304.069,0.09506,0.0606934,70.6915,0.0221,0.0141103
UNAFOF,4.85541,3.22101,4.85541,4968.11,1.44617,797.735,551.62,0.0,0.0,862.364,0.17358,0.120028,0.0,0.0,0.0
VABQUL,2.10065,1.18192,2.08897,3062.25,1.7663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XANNEF,2.2029,1.48721,2.19341,1879.18,1.58521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XAMXIS,2.56541,1.41133,2.50932,1609.06,2.39432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WASQUD,2.23263,0.86835,2.23263,1012.01,2.16001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XIHBOG,1.87079,0.98909,1.85399,1021.49,1.7437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XOMFIP,2.20905,1.62682,2.19446,892.132,1.88808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XILSIU,1.80865,1.21346,1.80865,1051.42,2.30101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZARGIL,1.90897,1.03409,1.81896,1367.67,2.12298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XUXWUJ,1.72532,0.84509,1.69768,1805.83,5.79815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XUYFOM,3.06301,1.43005,2.83561,2734.14,1.58394,0.0,0.0,16.9833,10.7222,0.0,0.0,0.0,35.0517,0.01282,0.00809374
YODGUT,1.99611,1.0125,1.90229,1455.73,1.83066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YITDUC,3.18399,2.44704,3.18399,1042.97,1.87258,0.0,0.0,208.74,111.472,0.0,0.0,0.0,90.6343,0.0869,0.0464067
XUXWOD,1.23919,0.46818,1.22881,1658.12,6.26244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
