Refcode,largest_cavity_diameter,pore_limiting_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
GEWROS,2.66231,2.04046,2.65994,1536.64,2.80677,0.0,0.0,0.237488,0.0846123,0.0,0.0,0.0,0.0,0.0,0.0
GUXCUY,2.6156,1.92406,2.6156,1642.95,2.16766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HASBOW,1.60618,0.82752,1.51298,1165.1,3.65863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FISDOA,1.95755,1.46077,1.8284,1685.23,2.16042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GANLOY,1.73553,0.92265,1.61782,1532.47,2.98997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HADKIH,2.62969,1.26216,2.56003,1982.91,1.58233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIQNAY,1.63888,0.86776,1.51051,1288.05,2.0889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FETHIW,1.36592,0.61332,1.20202,1002.8,5.96021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUDCUE,2.31032,1.1374,2.30729,2483.46,1.88341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOSRIP,2.08586,1.36471,1.91489,1271.55,2.00675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAVHIZ,3.88905,1.10076,3.80483,2474.06,1.95246,0.0,0.0,348.016,178.245,0.0,0.0,0.0,264.131,0.10676,0.0546796
GAHPOX,2.30708,1.27565,2.25001,1629.6,2.14399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIKRIB,2.43006,1.55704,2.07139,3553.15,1.74877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAWJAR,4.64323,3.49484,4.58708,1389.02,1.62628,1099.71,676.21,0.0,0.0,343.004,0.24694,0.151843,0.0,0.0,0.0
FERLEU,1.85075,0.91162,1.79204,939.276,2.99023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOVPAJ,2.91599,1.40004,2.02432,3178.5,1.7352,0.0,0.0,24.8618,14.3279,0.0,0.0,0.0,32.1664,0.01012,0.00583217
FETHES01,2.34058,1.16752,2.288,1061.45,2.20311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUJCEU,2.75186,1.03553,2.72885,1833.35,1.7995,0.0,0.0,1.78021,0.989279,0.0,0.0,0.0,0.0,0.0,0.0
HAGLOU,2.01035,1.17142,2.01035,1237.78,1.96444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
